author,title,year,month,date,time,message_data,message,message_day,message_time,message_ip,type
royroy666 (老鼠),[問卦] 加密貨幣在噴什麼東西 不是說電子垃圾嗎?,2023,1,9,10:23,2023/01/09,: 爽就噴,01/09,10:23,114.37.176.224,推
royroy666 (老鼠),[問卦] 加密貨幣在噴什麼東西 不是說電子垃圾嗎?,2023,1,9,10:23:11,2023/01/09,: 割韭菜哦,01/09,10:23:11,49.216.32.58,推
royroy666 (老鼠),[問卦] 加密貨幣在噴什麼東西 不是說電子垃圾嗎?,2023,1,9,10:32,2023/01/09,: 你怎不看去年崩多慘,01/09,10:32,36.233.48.56,推
royroy666 (老鼠),[問卦] 加密貨幣在噴什麼東西 不是說電子垃圾嗎?,2023,1,9,10:23:11,2023/01/09,: 就是屎啊，不是有鄉民用屎完美解釋過了嗎,01/09,10:23:11,42.73.229.64,推
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:32,2022/12/22,:這是真的 我上次去日本玩 隔壁車廂就在拍A片 我還被找,5/05,10:32,0,推
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:23:11,2022/12/22,:去拍打雞肉,5/05,10:23:11,0,推
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:44,2022/12/22,: 嘻嘻,12/22,10:44,61.216.94.79,推
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:23:11,2022/12/22,: 數位垃圾 886,12/22,10:23:11,114.137.32.189,推
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,12:10,2022/12/22,: 接下來就是市場出現海量礦渣卡,12/22,12:10,42.73.183.123,推
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:07:00,2022/12/22,: 不意外,12/22,10:07:00,223.137.8.114,推
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,14:32,2022/12/22,: 居然撐在一萬六這麼久,12/22,14:32,180.217.28.245,推
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:07:00,2022/12/22,: 龐氏,12/22,10:07:00,101.10.110.22,推
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:07,2022/12/22,: 拍打雞肉幹嘛,12/22,10:07,49.216.81.235,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:07:00,2022/12/21,: 小美：？,12/21,10:07:00,180.217.224.102,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:08,2022/12/21,: 等到幣安破產再叫我,12/21,10:08,223.141.29.43,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:07:00,2022/12/21,: 哈哈哈你看看你,12/21,10:07:00,101.12.25.55,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:08,2022/12/21,: 都什麼時候了還有人在挖礦？,12/21,10:08,27.242.199.182,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:07:00,2022/12/21,: 全部人都在等幣安倒,12/21,10:07:00,49.216.176.172,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:09,2022/12/21,: 妖獸喔，我朋友投不少錢進去耶,12/21,10:09,223.137.131.19,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:07:00,2022/12/21,: XD,12/21,10:07:00,125.229.152.217,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:12,2022/12/21,: 玩幣歸趙,12/21,10:12,27.105.25.33,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:07:00,2022/12/21,: 幣安遲早的事啦 一堆人都跑路了,12/21,10:07:00,61.216.64.210,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:37,2022/12/21,: 一群韭菜活該,12/21,10:37,101.10.8.245,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:07:00,2022/12/21,: 收割中ing 之前世界各地負責人掛了 就該知,12/21,10:07:00,220.142.1.42,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,12:09,2022/12/21,: 浪費電的垃圾倒光最好,12/21,12:09,223.136.150.194,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:07:00,2022/12/21,: 講穿了 全是詐騙 錢都轉走當然破產了,12/21,10:07:00,114.45.215.218,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,17:38,2022/12/21,: 泡沫化 有夠快,12/21,17:38,42.72.251.74,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,17:37:40,2022/12/21,: 好險沒投資比特幣,12/21,17:37:40,223.137.247.174,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,17:38,2022/12/21,: 加密貨幣能買一碗麵來吃嗎？,12/21,17:38,39.15.58.144,推
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,17:37:40,2022/12/21,: ...保護個小朋友,12/21,17:37:40,125.231.231.161,推
lightwish (穹願),[新聞] 美參院銀行委員會主席：可能禁止加密貨幣,2022,12,19,17:39,2022/12/19,: 反共仔：支那真不自由。笑死,12/19,17:39,1.200.67.125,推
lightwish (穹願),[新聞] 美參院銀行委員會主席：可能禁止加密貨幣,2022,12,19,17:37:40,2022/12/19,: 哈哈哈哈哈哈哈，原來最後割稻尾,12/19,17:37:40,114.43.182.29,推
lightwish (穹願),[新聞] 美參院銀行委員會主席：可能禁止加密貨幣,2022,12,19,17:39,2022/12/19,: 去中心化你被詐騙就不要當作犯罪行為啊,12/20,17:39,219.70.72.80,推
Gazooli (阿爾敏·亞魯雷特),[問卦] 加密貨幣能幹嘛？,2022,12,1,17:37:40,2022/12/01,: 彥州不回  換obov回,,17:37:40,,推
Gazooli (阿爾敏·亞魯雷特),[問卦] 加密貨幣能幹嘛？,2022,12,1,17:39,2022/12/01,: 割韭菜,12/01,17:39,140.124.3.122,推
