date,open,high,low,close,price difference(後天-前天),12month,收盤價一年總平均,BTC_Transactions,每日量差(後天-前天),交易量一年總平均,厭惡0,生氣0,恐懼0,悲傷0,驚喜0,開心0,厭惡1,生氣1,恐懼1,悲傷1,驚喜1,快樂1,厭惡2,生氣2,恐懼2,悲傷2,驚喜2,快樂2,厭惡3,生氣3,恐懼3,悲傷3,驚喜3,快樂3,厭惡4,生氣4,恐懼4,悲傷4,驚喜4,快樂4,厭惡5,生氣5,恐懼5,悲傷5,驚喜5,快樂5,厭惡6,生氣6,恐懼6,悲傷6,驚喜6,快樂6,厭惡7,生氣7,恐懼7,悲傷7,驚喜7,快樂7,厭惡8,生氣8,恐懼8,悲傷8,驚喜8,快樂8,厭惡9,生氣9,恐懼9,悲傷9,驚喜9,快樂9,厭惡10,生氣10,恐懼10,悲傷10,驚喜10,快樂10,厭惡11,生氣11,恐懼11,悲傷11,驚喜11,快樂11,厭惡12,生氣12,恐懼12,悲傷12,驚喜12,快樂12,厭惡13,生氣13,恐懼13,悲傷13,驚喜13,快樂13,厭惡14,生氣14,恐懼14,悲傷14,驚喜14,快樂14,close_MA5,close_MA10,close_MA20,close_MA50,close_MA60,close_MA120,close_MA240,volume_MA5,volume_MA10,volume_MA20,volume_MA50,volume_MA60,volume_MA120,volume_MA240,close_EMA50,close_EMA100,close_EMA200,MACD,baseline,bar,Rolling Mean,Bollinger High,Bollinger Low,close_MA3,volume_MA3
2022-01-01,46230.0,47960.98,46199.9,47777.42,,41111.84968,28188.3386,186662,,254940.2466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47777.42,47777.42,47777.42,0.0,0,0.0,,,,,
2022-01-02,47745.25,47989.0,46660.0,47350.22,-427.2,40763.18214,,196707,10045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47760.66705882353,47768.960594059405,47773.16925373134,-34.078632478631334,0,-27.262905982905068,,,,,
2022-01-03,47290.55,47586.58,45692.13,46439.89,-910.33,41969.57032,,234653,37946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47708.871880046136,47742.642364474064,47759.90279349521,-133.00897265443928,0,-100.9545969269704,,,,47189.176666666666,206007.33333333334
2022-01-04,46464.01,47526.0,45539.05,45820.0,-619.89,41415.15067,,274397,39744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47634.79847298551,47704.570238444874,47740.60027813705,-258.4526411949846,0,-181.11861237401257,,,,46536.70333333333,235252.33333333334
2022-01-05,45828.77,46855.06,42413.59,43435.8,-2384.2,31679.18548,,272005,-2392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46164.666000000005,,,,,,,232884.8,,,,,,,47470.131866201766,47620.040134713294,47697.766444523746,-543.9819810350673,0,-373.3183617712762,,,,45231.89666666667,260351.66666666666
2022-01-06,43417.31,43782.86,42414.0,43097.6,-338.2,24363.029,,264753,-7252.0,,3.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,45228.702000000005,,,,,,,248503.0,,,,,,,47298.6600283115,47530.486864718965,47651.99364408072,-788.4669967954178,0,-494.24270202530136,,,,44117.799999999996,270385.0
2022-01-07,43093.4,43135.35,40600.0,41535.66,-1561.94,667372.68,,255241,-9512.0,,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,44065.78999999999,,,,,,,260209.8,,,,,,,47072.660027201244,47411.77742185324,47591.13460284609,-1095.6289094646927,0,-641.123691755661,,,,42689.68666666667,263999.6666666667
2022-01-08,41576.73,42315.31,40517.05,41690.77,155.11,22362.05323,,223776,-31465.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43115.966,,,,,,,258034.4,,,,,,,46861.60551633061,47298.49014617298,47532.424507295385,-1311.423582815667,0,-685.5346920853082,,,,42108.01,247923.33333333334
2022-01-09,41697.32,42796.49,41200.0,41875.81,185.04,19795.7,,210002,-13774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42327.128000000004,,,,,,,245155.4,,,,,,,46666.084123533336,47191.11034129827,47476.139785829764,-1450.7874598534254,0,-659.9188552984532,,,,41700.746666666666,229673.0
2022-01-10,41853.98,42256.55,39558.7,41845.42,-30.39,19648.96774,,266601,56599.0,,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3.0,0.0,3.0,1.0,0.0,0.0,42009.052,44086.859,,,,,,244074.6,238479.7,,,,,,46477.038471630076,47085.25508701513,47420.1127232842,-1545.8667656824036,0,-603.9985289019451,,,,41803.99999999999,233459.66666666666
