author,title,year,month,date,time,message_data,message,留言日期,message_day,message_time,message_ip,type,Break_word,POS_tags,Topic,Top_words,Probability,Topic_28,Top_words_28,Probability_28,厭惡,悲傷,恐懼,生氣,驚喜,開心
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:32,2022/12/22,這是真的我上次去日本玩隔壁車廂就在拍a片我還被找,2022/05 / 05 ,5月5日,10:32,0,推,"是,真的,上,次,去,日本,玩,隔壁,車廂,就,在,拍,a片,還,被,找","是 SHI,真的 D,上 Nes,次 Nf,去 VCL,日本 Nc,玩 VC,隔壁 Nc,車廂 Na,就 D,在 P,拍 VC,a片 Na,還 D,被 P,找 VC",9,真的 - 可以 - 哈哈 - 厲害 - 聰明 - 不錯 - 這麼 - 恭喜 - 羨慕 - 身家,0.0358887468096113,4,真的 - 哈哈 - 可以 - 厲害 - 聰明 - 不錯 - 這麼 - 恭喜 - 羨慕 - 身家,0.0244366186850307,0,0,0,0,0,0
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:23:11,2022/12/22,去拍打雞肉,2022/05 / 05 ,5月5日,10:23:11,0,推,"去,拍打,雞肉","去 D,拍打 VC,雞肉 Na",-1,自來 - 奇蹟 - 五樓 - 離席 - 墜機 - 蚵仔 - 鴿子 - 高歌 - 萬保衛戰 - 樂透,0.9520887740361386,-1,自來 - 奇蹟 - 離席 - 五樓 - 墜機 - 蚵仔 - 鴿子 - 高歌 - 萬保衛戰 - 樂透,0.9520887740361386,0,0,0,1,0,0
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:44,2022/12/22,嘻嘻,2022/12 / 22 ,12月22日,10:44,61.216.94.79,推,嘻嘻,嘻嘻 D,1,歐印 - 現在 - allin - 自由 - 財富 - 進場 - 上車 - 可以 - 時候 - 機會,0.086526572677056,1,歐印 - 現在 - allin - 進場 - 可以 - 時候 - 攤平 - 趕快 - 準備 - 幹嘛,0.075238639288002,0,0,0,0,0,1
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:23:11,2022/12/22,數位垃圾,2022/12 / 22 ,12月22日,10:23:11,114.137.32.189,推,"數位,垃圾","數位 A,垃圾 Na",6,垃圾 - 浪費 - 電子 - 挖礦 - 數位 - 礦工 - 能源 - 技術 - 網路 - 地球,0.1501046379322348,3,垃圾 - 浪費 - 電子 - 挖礦 - 數位 - 礦工 - 能源 - 技術 - 網路 - 地球,0.1330189052987875,1,0,0,0,0,0
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,12:10,2022/12/22,接下來就是市場出現海量礦渣卡,2022/12 / 22 ,12月22日,12:10,42.73.183.123,推,"接下來,就,是,市場,出現,海量,礦渣卡","接下來 D,就 D,是 SHI,市場 Nc,出現 VH,海量 Na,礦渣卡 Na",0,比特幣 - 美金 - 交易所 - 股票 - 貨幣 - 美元 - 交易 - 投資 - 價值 - 銀行,0.2652261967359147,0,比特幣 - 美金 - 交易所 - 股票 - 美元 - 貨幣 - 交易 - 投資 - 價值 - 銀行,0.2652261967359147,0,0,0,0,0,0
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:07:00,2022/12/22,不意外,2022/12 / 22 ,12月22日,10:07:00,223.137.8.114,推,"不,意外","不 D,意外 VK",7,顯卡 - 跌到 - 便宜 - 跌破 - 正常 - 繼續 - 價格 - 下去 - 崩潰 - 終於,0.158059876013972,11,跌到 - 跌破 - 繼續 - 崩潰 - 下去 - 舒服 - 意外 - 崩盤 - 不好 - 以下,0.1217094026220487,0,0,0,0,1,0
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,14:32,2022/12/22,居然撐在一萬六這麼久,2022/12 / 22 ,12月22日,14:32,180.217.28.245,推,"居然,撐,在,這麼,久","居然 D,撐 VC,在 P,這麼 Dfa,久 VH",9,真的 - 可以 - 哈哈 - 厲害 - 聰明 - 不錯 - 這麼 - 恭喜 - 羨慕 - 身家,0.1117793342539986,4,真的 - 哈哈 - 可以 - 厲害 - 聰明 - 不錯 - 這麼 - 恭喜 - 羨慕 - 身家,0.0940912509972594,0,0,0,0,0,0
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:07,2022/12/22,拍打雞肉幹嘛,2022/12 / 22 ,12月22日,10:07,49.216.81.235,推,"拍打,雞肉,幹嘛","拍打 VC,雞肉 Na,幹嘛 D",1,歐印 - 現在 - allin - 自由 - 財富 - 進場 - 上車 - 可以 - 時候 - 機會,0.010537759437137,1,歐印 - 現在 - allin - 進場 - 可以 - 時候 - 攤平 - 趕快 - 準備 - 幹嘛,0.0080570474919471,0,0,0,1,0,0
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:08,2022/12/21,等到幣安破產再叫我,2022/12 / 21 ,12月21日,10:08,223.141.29.43,推,"等到,幣安,破產,再,叫","等到 P,幣安 Na,破產 VH,再 D,叫 VL",1,歐印 - 現在 - allin - 自由 - 財富 - 進場 - 上車 - 可以 - 時候 - 機會,0.0307818346853229,1,歐印 - 現在 - allin - 進場 - 可以 - 時候 - 攤平 - 趕快 - 準備 - 幹嘛,0.0193261311507721,0,1,0,0,0,0
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:07:00,2022/12/21,哈哈哈你看看你,2022/12 / 21 ,12月21日,10:07:00,101.12.25.55,推,"哈哈,哈,看看","哈哈 D,哈 D,看看 VE",2,韭菜 - 台灣 - 收割 - nft - 跳樓 - 還是 - 應該 - 抄底 - 割完 - 看看,0.1017977710721365,18,抄底 - 應該 - 跳樓 - hodl - 還是 - 看看 - 以前 - 什麼 - 高點 - 那麼,0.0878483971897594,0,0,0,0,0,1
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:08,2022/12/21,都什麼時候了還有人在挖礦,2022/12 / 21 ,12月21日,10:08,27.242.199.182,推,"都,時候,還,有,人,在,挖礦","都 D,時候 Na,還 T,有 D,人 V_2,在 Na,挖礦 D",6,垃圾 - 浪費 - 電子 - 挖礦 - 數位 - 礦工 - 能源 - 技術 - 網路 - 地球,1.0,3,垃圾 - 浪費 - 電子 - 挖礦 - 數位 - 礦工 - 能源 - 技術 - 網路 - 地球,1.0,0,0,0,0,0,0
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:07:00,2022/12/21,全部人都在等幣安倒,2022/12 / 21 ,12月21日,10:07:00,49.216.176.172,推,"人,都,在,等幣,安倒","人 Na,都 D,在 P,等幣 Na,安倒 VC",0,比特幣 - 美金 - 交易所 - 股票 - 貨幣 - 美元 - 交易 - 投資 - 價值 - 銀行,1.0,0,比特幣 - 美金 - 交易所 - 股票 - 美元 - 貨幣 - 交易 - 投資 - 價值 - 銀行,1.0,0,0,0,0,0,0
